SN,NUPCO CODE,LONG DESCRIPTION,UOM,"GROUP
CATEGORY",INITIAL QUANTITY
699,4218170800900,"ELECTRODE, FOR ECG MONITORING, AND STRESS TEST, ADULT, PLASTIC PRE GELLED, SILVER/SILVER CHLORIDE, 40-50 MM DIAMETER, STRONG ADHESIVE",EA,ITEMIZED,"2,87,93,443"
700,4218170800700,"ELECTRODE, PEDIATRIC ECG (1 PACK OF 3 ELECTRODE) MRI COMPATIBLE",EA,ITEMIZED,"40,118"
701,4227160009300,"CABLE, ECG 11 PIN CONNECTOR, 5 LEAD, IT SHOULD BE COMPATIBLE WITH THE HOSPITAL'S DEVICE",EA,ITEMIZED,614
702,4227160019100,"CABLES, 5 LEADS, ECG, FOR PHILIPS MONITORS OR EQUIVALENT",EA,ITEMIZED,"3,027"
703,4214000012100,"CONNECTOR, CABLE TRUNK 3-LEAD, FOR ECG, IT SHOULD BE COMPATIBLE WITH THE HOSPITAL MACHINE",EA,ITEMIZED,"8,057"
704,4229514318300,"ELECTRODE, ECG, SILVER GEL BASED, ADHESIVE, TAB TYPE, DISPOSABLE, STERILE",EA,ITEMIZED,"14,17,000"
705,4231151205700,"GEL, HIGH CONDUCTIVITY WATER SOLUBLE, FOR DEFIBRILLATION, 60 GRAM, TUBE",EA,ITEMIZED,"19,700"
706,4231151205800,"GEL, PREPPING CHLORIDE AND ACETONE, EEG SKIN, 4 OZ TUBE",EA,ITEMIZED,"89,809"
707,4218171500300,"ADHESIVE, ELECTRODE PASTE, 8-10 OZ, CONDUCTIVE",EA,ITEMIZED,"10,529"
708,4213150405100,"CREAM, ELECTRODE, ELECTROCARDIOGRAM, CONDUCTIVE, 100-150 GM, TUBE",EA,ITEMIZED,"4,195"
709,4218154101000,"NEEDLE, ELECTRODE NEEDLE, LOW IMPEDANCE, COMPLETE WITH OLYMPIC BRAINZ MONITOR (OBM), DISPOSABLE,
STERILE",EA,ITEMIZED,400
710,4218232600600,"SENSOR, HYDROGEL, FOR NEONATAL COMPATIBLE WITH CFM MONITORING OR EQUIVALENT, DISPOSABLE, STERILE",EA,ITEMIZED,547
711,4218232600500,"SENSOR, HYDROGEL, FOR NEONATAL COMPATIBLE WITH OLYMPIC BRAINZ MONITOR (OBM), DISPOSABLE",EA,ITEMIZED,"25,501"
712,4227250001700,"SENSOR, PEDIATRIC, SPIROMETRY, FOR DATEXOHMEDA MACHINE OR ANY EQUIVALENT MACHINE, DISPOSABLE",EA,ITEMIZED,"22,500"
713,4214271202500,"SENSOR, SEMI-INVASIVE FOR MONITORING CARDIAC OUTPUT, SHOULD BE COMPATIBLE WITH HOSPITAL MACHINE",EA,ITEMIZED,"1,617"
714,4214312900000,"COROMETRICS, NAUTILUS, ULTRASOUND TRANSDUCER, COMPATIBLE TOCO",EA,ITEMIZED,30
715,4220170501400,"COVER WITH ELASTIC BANDS, FOR ULTRASOUND ENDOCAVITARY/RECTAL TRANSDUCER, 3.5 CM X 20 CM, LATEX, NON- STERILE",EA,ITEMIZED,"22,700"
716,4220170800800,"GEL, ULTRASOUND TRANSMISSION, 250 GM / TUBE",EA,ITEMIZED,"16,22,242"
717,4220170800500,"GEL, ULTRASOUND, TRANSMISSION, FOIL POUCH, 15 GM, STERILE",EA,ITEMIZED,"1,04,296"
718,4229495401000,"FILM, DRY IMAGING, LASER, TO BE USED WITH DRYPIX 7000 AND DRYPIX 4000 LASER PRINTER, OR EQUIVALENT (DI - HL) LUE BASE : SIZE 20 X 25 CM (8 INCH X 10 INCH) 50 FILM/PACK",EA,ITEMIZED,"1,56,390"
719,4229495401100,"FILM, DRY IMAGING, LASER, TO BE USED WITH DRYPIX 7000 AND DRYPIX 4000 LASER PRINTER, OR EQUIVALENT (DI - HL) LUE BASE : SIZE 26 X 36 CM (10 INCH X 14 INCH) 50 FILM/PACK",EA,ITEMIZED,"1,37,730"
720,4220181000800,"FILM, DRY IMAGING, LASER, TO BE USED WITH DRYPIX 7000 AND DRYPIX 4000 LASER PRINTER, OR EQUIVALENT (DI- HL) LUE BASE: SIZE 35 X 43 CM(14 INCH X 17 INCH), 100 FILM / PACK",EA,ITEMIZED,"9,03,910"
721,4220181000600,"X-RAY FILM (A) MEDIUM OR HIGH SPEED, HIGH CONTRAST FILMS FOR RADIOGRAPHY WITH MINIMAL RADIATION DOSE, USED WITH STANDARD INTENSIFYING SCREEN.(B) SUITABLE FOR AUTOMATIC AND MANUAL PROCESSING, ALSO FOR USE IN RAPID FILM CHANGES. (C) CAN BE USED WITH DAYLIGHT, SIZE 18 X 24CM PACKING: 100 SHEETS/PACKET",EA,ITEMIZED,"1,16,971"
722,4220181000000,"X-RAY FILM (A) MEDIUM OR HIGH SPEED, HIGH CONTRAST FILMS FOR RADIOGRAPHY WITH MINIMAL RADIATION DOSE, USED WITH STANDARD INTENSIFYING SCREEN.(B) SUITABLE FOR AUTOMATIC AND MANUAL PROCESSING, ALSO FOR USE IN RAPID FILM CHANGES. (C) CAN BE USED WITH DAYLIGHT, SIZE 24 X 30CM PACKING: 100 SHEETS/PACKET",EA,ITEMIZED,"2,16,481"
723,4220181000700,"X-RAY FILM (A) MEDIUM OR HIGH SPEED, HIGH CONTRAST FILMS FOR RADIOGRAPHY WITH MINIMAL RADIATION DOSE, USED WITH STANDARD INTENSIFYING SCREEN.(B) SUITABLE FOR AUTOMATIC AND MANUAL PROCESSING, ALSO FOR USE IN RAPID FILM CHANGES. (C) CAN BE USED WITH DAYLIGHT, SIZE 30 X 40CM PACKING: 100 SHEETS/PACKET",EA,ITEMIZED,"6,000"
724,4220181000100,"X-RAY FILM (A) MEDIUM OR HIGH SPEED, HIGH CONTRAST FILMS FOR RADIOGRAPHY WITH MINIMAL RADIATION DOSE, USED WITH STANDARD INTENSIFYING SCREEN.(B) SUITABLE FOR AUTOMATIC AND MANUAL PROCESSING, ALSO FOR USE IN RAPID FILM CHANGES. (C) CAN BE USED WITH DAYLIGHT, SIZE 35 X 35CM PACKING: 100 SHEETS/PACKET",EA,ITEMIZED,"1,39,590"
725,4220181000200,"X-RAY FILM (A) MEDIUM OR HIGH SPEED, HIGH CONTRAST FILMS FOR RADIOGRAPHY WITH MINIMAL RADIATION DOSE, USED WITH STANDARD INTENSIFYING SCREEN.(B) SUITABLE FOR AUTOMATIC AND MANUAL PROCESSING, ALSO FOR USE IN RAPID FILM CHANGES. (C) CAN BE USED WITH DAYLIGHT, SIZE 35 X 43CM PACKING: 100 SHEETS/PACKET",EA,ITEMIZED,"1,72,053"
726,4214230102600,"LABEL, HEPATITIS, RISK, BIOHAZARD, AND LOGO RED, ON YELLOW",EA,ITEMIZED,"41,000"
727,4214230102900,"LABEL, WHITE, 3 IN X 1 - 1/2 IN, ROLL",EA,ITEMIZED,"8,06,854"
728,4214230100000,"LABELS, BLANK PACKAGED AS ROLL, WHITE, SELF ADHESIVE, ALL PURPOSE, DISPOSABLE",EA,ITEMIZED,"16,11,188"
729,4219181300300,"PAPER, PRINT TYPE IV (HIGH DENSITY), 110 MM X 20 M ROLL, FOR ULTRASOUND DIAGNOSTIC EQUIPMENT",EA,ITEMIZED,"1,640"
730,4412190500000,"PRINTER, FOOT PRINTER, PROVIDES POSITIVE INFANT IDENTIFICATION WITHOUT MESS, SIMPLY PRESS NEWBORNS FOOT TO THIN SHEET OF MYLAR FILM (ONE SIDE COATED WITH NON-TOXIC BLACK OR BLUE INK) AND LARGE ENOUGH FOR MOTHERS FINGER PRINT, DISPOSABLE",EA,ITEMIZED,"4,98,113"
SN,NUPCO CODE,LONG DESCRIPTION,UOM,"GROUP
CATEGORY",INITIAL QUANTITY
731,4219181300500,"PAPER, PRINT TYPE I (STANDARD DENSITY), 110 MM X 20 M ROLL, FOR ULTRASOUND DIAGNOSTIC EQUIPMENT",EA,ITEMIZED,"3,830"
732,4219181300400,"PAPER, RECORDING CONTINUOUS, CTG, FOR HP M1911A / M1913A, SIZE APPROX. 151 MM X 100 MM",EA,ITEMIZED,"61,676"
733,4227160009400,"PAPER CHART, ECG, FOR HP 43100 AND 78600 DEFIBRILLATOR, SIZE APPROX. 50 MM X 30 M",EA,ITEMIZED,"15,548"
734,4218172302200,"PAPER, ECG, FOR WELCH ALLYN CP100 / CP200, SIZE APPROX. 210 MM X 280 MM",EA,ITEMIZED,"14,355"
735,4218172302500,"PAPER, ECG, FOR WELCH ALLYN CP50, SIZE APPROX. 114 MM X 70 MM",EA,ITEMIZED,"3,000"
736,4218172302300,"PAPER, RECORDING, ECG, FOR EDAN SE-1200 / SE-12, SIZE APPROX. 210 MM X 295 MM",EA,ITEMIZED,"1,314"
737,4218172302600,"PAPER, ECG, FOR LIFEPAK 11 / 12, SIZE APPROX. 107 MM X 25 M",EA,ITEMIZED,"18,645"
738,4218172305700,"PAPER, ECG, FOR ZOLL X SERIES DEFIBRILLATOR, SIZE APPROX. 90 MM X 90 MM",EA,ITEMIZED,"2,564"
739,4219181300600,"PAPER, ECG, FOR LIFEPAK 6 / 10 / 12 / 20, SIZE APPROX. 50 MM X 30 M",EA,ITEMIZED,"1,87,620"
740,4218172307300,"PAPER, ECG, FOR LIFEPAK 15, SIZE APPROX. 100 MM X 22 M",PAC,ITEMIZED,"27,000"
741,4231150506600,"ABDOMINAL BINDER (ABDOMINAL BELT), SUPPORT WITH VELCRO FASTENER, BREATHABLE, 100 - 120 CM (+/- 5CM)",EA,ITEMIZED,"1,45,596"
742,4231250200800,"ABDOMINAL BINDER (ABDOMINAL BELT), SUPPORT WITH VELCRO FASTENER, BREATHABLE, 60- 100 CM (+/- 5CM)",EA,ITEMIZED,799
743,4218192001700,"SET, INTRA - ABDOMINAL PRESSURE, COMPLETE (IAP MONITORING DEVICE MUST BE PROVIDED FREE OF CHARGE), AUTO VALVE, 20 ML, 3 RING SYRINGE WITH PROTECTIVE SILICONE SLAVE, DOUBLE CHECK VALVE, TUBING AND SPIKE FOR STERILE BAG CONNECTION, INFUSION AND PRESSURE TRANSDUCER TUBING, ZEROING STOPCOCK, STERILE DRAPE, LATEX FREE, DISPOSABLE, STERILE",EA,ITEMIZED,"6,354"
744,4213160500100,"COVER, BOOT COVER, FULL, UNIVERSAL GENEROUS SIZING, MADE OF HIGH-QUALITY THREE LAYER SMS, HEAVY-DUTY, THICK, COMPLETE BARRIER TO BLOOD AND BOD Y FLUIDS, BREATHABLE, KNEE HIGH, PRESENTED IN SMALL CARTOON DISPENSERS CAN TAKE UP TO 50 PCS PER DISPENSER.",PKT,ITEMIZED,"5,96,640"
745,4213171600000,"COVER, OVER SHOE, NON - WOVEN, FITS ALL SIZE S, BREATHABLE FABRIC TEAR/SLIP RESISTANT, DISPOSABLE",EA,ITEMIZED,"1,44,98,117"
746,4213150405600,"COVERALL, GENERAL PROTECTION, WHITE, T-STYLE DESIGN, MADE FROM NON-WOVEN SMS MATERIALS, WITH BARRIER TO BLOOD AND BODY FLUIDS, BREATHABLE AND COMFORTABLE, IGNITION RESISTANCE, WHEN DISPOSING SHOULD BE ENVIRONMENTAL FRIENDLY, LOW IN LINT GENERATION, GENEROUS SIZING, WITH ELASTIC CUFFS, ANKLE, HOOD, AND WAIST, QUALITY ZIPPER WITH FLAP COVERED, SMALL SIZE, MEETING OSHA RECOMMENDATION FOR THE PPE SAFETY USE WITHIN THE HEALTHCAR E SETTING, DISPOSABLE",EA,ITEMIZED,"16,292"
747,4213150405500,"COVERALL, GENERAL PROTECTION, WHITE, T-STYLE DESIGN, MADE FROM NON-WOVEN SMS MATERIALS, WITH BARRIER TO BLOOD AND BODY FLUIDS, BREATHABLE AND COMFORTABLE, IGNITION RESISTANCE, WHEN DISPOSING SHOULD BE ENVIRONMENTAL FRIENDLY, LOW IN LINT GENERATION, GENEROUS SIZING, WITH ELASTIC CUFFS, ANKLE, HOOD, AND WAIST, QUALITY ZIPPER WITH FLAP COVERED, MEDIUM SIZE, MEETING OSHA RECOMMENDATION FOR THE PPE SAFETY USE WITHIN THE HEALTHCARE SETTING, DISPOSABLE",EA,ITEMIZED,"1,85,759"
748,4213150405400,"COVERALL, GENERAL PROTECTION, WHITE, T - STYLE DESIGN, MADE FROM NON - WOVEN SMS MATERIALS, WITH BARRIER TO BLOOD AND BODY FLUIDS, BREATHABLE AND COMFORTABLE, IGNITION RESISTANCE, WHEN DISPOSING SHOULD BE ENVIRONMENTAL FRIENDLY, LOW IN LINT GENERATION, GENEROUS SIZING, WITH ELASTIC CUFFS, ANKLE, HOOD, AND WAIST, QUALITY ZIPPER WITH FLAP COVERED, LARGE SIZE, MEETING OSHA RECOMMENDATION FOR THE SAFETY USE IN THE HEALTHCARE SETTING, DISPOSABLE",EA,ITEMIZED,"2,53,805"
749,4213150405300,"COVERALL, GENERAL PROTECTION, WHITE, T - STYLE DESIGN, MADE FORM NON - WOVEN SMS MATERIALS, WITH BARRIER TO BLOOD AND BODY FLUIDS, BREATHABLE AND COMFORTABLE, IGNITION RESISTANCE, WHEN DISPOSING SHOULD BE ENVIRONMENTAL FRIENDLY, LOW IN LINT GENERATION, GENEROUS SIZING, WITH ELASTIC CUFFS, ANKLE, HOOD, AND WAIST, QUALITY ZIPPER WITH FLAP COVERED, X - LARGE SIZE . MEETING OSHA RECOMMENDATION FOR THE PPE SAFETY USE WITHIN THE HEALTH CARE SETTING, DISPOSABLE",EA,ITEMIZED,"4,41,237"
750,4213150404900,"COVERALL, GENERAL PROTECTION, WHITE, T-STYLE DESIGN, MADE FROM NON-WOVEN SMS MATERIALS, WITH BARRIER TO BLOOD AND BODY FLUIDS, BREATHABLE AND COMFORTABLE, IGNITION RESISTANCE, WHEN DISPOSING SHOULD BE ENVIRONMENTAL FRIENDLY, LOW IN LINT GENERATION, GENEROUS SIZING, WITH ELASTIC CUFFS, ANKLE, HOOD, AND WAIST, QUALITY ZIPPER WITH FLAP COVERED, XX-LARGE SIZE, MEETING OSHA RECOMMENDATION FOR THE PPE SAFETY USE WITHIN THE HEALTHCARE SETTING, DISPOSABLE",EA,ITEMIZED,"3,70,830"
751,4213220306200,"GLOVES, EXAMINATION, LATEX, NON - POWDERED, THICK (13 MIL THICKNESS), LONG CUFFS (MORE THAN 290 MM FROM THE INDEX FINGER), SIZE: SMALL, DISPOSABLE, NON - STERILE (PACKET)",PKT,ITEMIZED,"2,28,600"
752,4213220306300,"GLOVES, EXAMINATION, LATEX, NON - POWDERED, THICK (13 MIL THICKNESS), LONG CUFFS (MORE THAN 290 MM FROM THE INDEX FINGER), SIZE: MEDIUM, DISPOSABLE, NON - STERILE (PACKET)",PKT,ITEMIZED,"75,168"
753,4213220305800,"GLOVES, EXAMINATION, LATEX, NON - POWDER, THICK (13 MIL THICKNESS), LONG CUFFS (MORE THAN 290 MM FROM THE INDEX FINGER), SIZE: LARGE, DISPOSABLE, NON - STERILE (PACKET)",PKT,ITEMIZED,"58,950"
754,4213220304300,"GLOVES, MEDICAL, ETHYLENE, COPOLYMER, NON - POWDERED, SIZE: SMALL, 100 PIECES / PACKET",PKT,ITEMIZED,"81,300"
755,4213220304200,"GLOVES, MEDICAL, ETHYLENE, COPOLYMER, NON - POWDERED, SIZE: MEDIUM, 100 PIECES / PACKET",PKT,ITEMIZED,"77,500"
SN,NUPCO CODE,LONG DESCRIPTION,UOM,"GROUP
CATEGORY",INITIAL QUANTITY
756,4213220304100,"GLOVES, MEDICAL, ETHYLENE, COPOLYMER, NON - POWDERED, SIZE: LARGE, 100 PIECES / PACKET",PKT,ITEMIZED,"77,500"
757,4213220306500,"GLOVES, EXAMINATION, NITRILE, NON-POWDERED, LONG SLEEVE WITH MINIMUM LENGTH 300-350 MM, SIZE:
SMALL, (PACKET)",PKT,ITEMIZED,"7,35,614"
758,4213220306400,"GLOVES, EXAMINATION, NITRILE, NON-POWDERED, LONG SLEEVE, WITH MINIMUM LENGTH 300-350 MM, SIZE:
MEDIUM, (PACKET)",PKT,ITEMIZED,"8,24,623"
759,4213220306600,"GLOVES, EXAMINATION, NITRILE, NON-POWDERED, LONG SLEEVE, WITH MINIMUM LENGTH 300-350 MM, SIZE:
LARGE, (PACKET)",PKT,ITEMIZED,"8,02,895"
760,4213220306700,"GLOVES, EXAMINATION, NITRILE, NON-POWDERED, LONG SLEEVE, WITH MINIMUM LENGTH 300-350 MM, SIZE:
EXTRA LARGE, (PACKET)",PKT,ITEMIZED,"7,25,987"
761,4213220304900,"GLOVES, EXAMINATION, VINYL, NON-POWDERED, SIZE: SMALL, PACKING: 100 PIECES / PACKET)",PKT,ITEMIZED,"90,35,580"
762,4213220304800,"GLOVES, EXAMINATION, VINYL, NON-POWDERED, SIZE: MEDIUM, PACKING: 100 PIECES / PACKET)",PKT,ITEMIZED,"1,68,10,205"
763,4213220304700,"GLOVES, EXAMINATION, VINYL, NON-POWDERED, SIZE: LARGE, PACKING: 100 PIECES / PACKET)",PKT,ITEMIZED,"47,00,932"
764,4213161200600,"GOWN, CHEMOTHERAPY, SERVE AS BARRIER AGAINST WATER AND CHEMICAL PROOF AND PERFORATED OPEN BACK DESIGN, SIZE SMALL, NON STERILE",EA,ITEMIZED,"48,935"
765,4213161200300,"GOWN, CHEMOTHERAPY, SERVE AS BARRIER AGAINST WATER AND CHEMICAL PROOF AND PERFORATED OPEN BACK DESIGN, SIZE MEDIUM, NON STERILE",EA,ITEMIZED,"65,247"
766,4213161200400,"GOWN, CHEMOTHERAPY, SERVE AS BARRIER AGAINST WATER AND CHEMICAL PROOF AND PERFORATED OPEN BACK DESIGN, SIZE LARGE, NON STERILE",EA,ITEMIZED,"58,749"
767,4213170202000,"GOWN, CHEMOTHERAPY, SERVE AS BARRIER AGAINST WATER AND CHEMICAL PROOF AND PERFORATED OPEN BACK DESIGN, SIZE XL, NON STERILE",EA,ITEMIZED,"56,400"
768,4213170203900,"GOWN, FOR PATIENT, DARK BLUE, WITH NECK AND BACK TIES, LONG SLEEVES WITH CUFF, LENGTH: BELOW KNEE, STANDARD SIZE, DISPOSABLE",EA,ITEMIZED,"2,97,075"
769,4213160400000,"HAIR CAP, FOR NURSE, BOUFFANT HEAD, NON-WOVEN, ADJUSTABLE, 18-20 GSM, FITS ALL SIZES, BLUE OR GREEN,
DISPOSABLE",EA,ITEMIZED,"2,08,15,247"
770,4213150200000,"HAIR CAP, FOR PATIENT, ADJUSTABLE, FITS ALL SIZES, WHITE",EA,ITEMIZED,"5,71,643"
771,4213161100200,"HAIR CAP, FOR SURGEON, HOOD TYPE, WITH TIES, FITS ALL SIZES, BLUE OR GREEN, DISPOSABLE",EA,ITEMIZED,"71,54,367"
772,4213161100000,"HAIR CAP, FOR SURGEON, WITH TIES, FITS ALL SIZE, BLUE OR GREEN, DISPOSABLE",EA,ITEMIZED,"30,65,016"
773,4229480501300,"SLIPPER, NON - SKID, RUBBER SOLE, STRETCHABLE, LIGHT WEIGHT, WASHABLE, ADULT, SIZE: SMALL, DISPOSABLE",EA,ITEMIZED,"54,362"
774,4229480501200,"SLIPPER, NON - SKID, RUBBER SOLE, STRETCHABLE, LIGHT WEIGHT, WASHABLE, ADULT, SIZE: MEDIUM, DISPOSABLE",EA,ITEMIZED,"60,631"
775,4229480501100,"SLIPPER, NON - SKID, RUBBER SOLE, STRETCHABLE, LIGHT WEIGHT, WASHABLE, ADULT, SIZE: LARGE, DISPOSABLE",EA,ITEMIZED,"78,816"
776,4229480501000,"SLIPPER, NON - SKID, RUBBER SOLE, STRETCHABLE, LIGHT WEIGHT, WASHABLE, ADULT, SIZE: X-LARGE, DISPOSABLE",EA,ITEMIZED,"70,188"
777,4229480500900,"SLIPPER, NON - SKID, RUBBER SOLE, STRETCHABLE, LIGHT WEIGHT, WASHABLE, ADULT, SIZE: XX- LARGE, DISPOSABLE",EA,ITEMIZED,"48,705"
778,4229480501700,"SLIPPER, NON - SKID, RUBBER SOLE, STRETCHABLE, LIGHT WEIGHT, WASHABLE, PEDIATRIC, SIZE: SMALL, DISPOSABLE",EA,ITEMIZED,"5,189"
779,4229480501600,"SLIPPER, NON - SKID, RUBBER SOLE, STRETCHABLE, LIGHT WEIGHT, WASHABLE, PEDIATRIC, SIZE: MEDIUM,
DISPOSABLE",EA,ITEMIZED,"7,591"
780,4229480501500,"SLIPPER, NON - SKID, RUBBER SOLE, STRETCHABLE, LIGHT WEIGHT, WASHABLE, PEDIATRIC, SIZE: LARGE, DISPOSABLE",EA,ITEMIZED,"6,825"
781,4229480501400,"SLIPPER, NON - SKID, RUBBER SOLE, STRETCHABLE, LIGHT WEIGHT, WASHABLE, PEDIATRIC, SIZE: X- LARGE,
DISPOSABLE",EA,ITEMIZED,"9,291"
782,4618180800000,"GOGGLES, ULTRAVIOLET, FOR COMPLETE EYE PROTECTION, DURING ACTUAL UVA OR UVB TREATMENTS",EA,ITEMIZED,660
783,4618170200400,"MASK, EARLOOP, BLUE, PACKING: 50 PIECES / PACKET",EA,ITEMIZED,"38,55,615"
784,4111620002200,"FACE MASK, 3-LAYERS, BLACK, WITH EAR LOOP",EA,ITEMIZED,"91,33,747"
785,4618200500900,"FACE MASK, CHILD WITH EARLOOP, 3 LAYERS (THE INNER LAYER IS FILTER), COLORFUL.",PC,ITEMIZED,"24,50,000"
786,4618170200100,"MASK, SURGICAL, WRAP AROUND, SPLASH GUARD, VISOR, FOG FREE, WITH TIES, DISPOSABLE",EA,ITEMIZED,"17,45,128"
787,4229480502000,"SNUGGLE - UPS, SMALL, SOFT FIBER, COTTON, INTERLOCK KNOT, REUSABLE, WASHABLE",EA,ITEMIZED,"3,402"
788,4229480501900,"SNUGGLE - UPS, MEDIUM, SOFT FIBER, COTTON, INTERLOCK KNOT, REUSABLE, WASHABLE",EA,ITEMIZED,"3,402"
789,4218201500400,"PILLOW, CASE, NON - WOVEN, FABRIC, 20 X 30 INCH, APPROXIMATELY, DISPOSABLE",EA,ITEMIZED,"98,280"
790,4220340330400,"RAZOR, BLADE, FOR SHAVING, NON-STERILE, DISPOSABLE",EA,ITEMIZED,"1,31,835"
791,4213160100300,"APRON, LAMINATED, PLASTIC, SIZE: 70 X 120 CM (+/- 5 CM), DISPOSABLE",EA,ITEMIZED,"83,20,670"
792,4215161001700,"APRON, LAMINATED, PLASTIC, SIZE 75 X 145CM (+/- 5 CM), DISPOSABLE",EA,ITEMIZED,"1,92,650"
793,4213151200000,"BABY HAT, (WHITE IN COLOR) ONE SIZE FITS MOST, 5.0 OZ. 100 % COMBED RING SPUN COTTON, 1 X 1 BABY RIB, BEANIE STYLE CONSTRUCTION WITHFOLDED EDGE, SUPER SOFT MATERIAL FOR SENSITIVE SKIN",EA,ITEMIZED,"1,57,735"
794,4213151200100,"BONNET, INFANT, HEADCOVER, TO KEEP THE PREMATURE AND NEWBORN WARM",EA,ITEMIZED,"2,54,342"
795,4111620001300,"BRA, THERAPORT POST-SURGICAL BRA, ADJUSTABLE STRAP, SIZE MEDIUM",EA,ITEMIZED,500
796,4224180801700,"BRA, THERAPORT POST-SURGICAL BRA, ADJUSTABLE STRAP, SIZE LARGE",EA,ITEMIZED,500
797,4224180801800,"BRA, THERAPORT POST-SURGICAL BRA, ADJUSTABLE STRAP, SIZE XL",EA,ITEMIZED,700
798,4224180801900,"BRA, THERAPORT POST SURGICAL BRA, ADJUSTABLE STRAP, SIZE XXL",EA,ITEMIZED,700
799,4213151407000,"UNDERWEAR, FEMALE, MEDIUM, DISPOSABLE",PC,ITEMIZED,"1,800"
800,4213151406900,"UNDERWEAR, FEMALE, LARGE, DISPOSABLE",PC,ITEMIZED,"1,800"
801,4213151407100,"UNDERWEAR, FEMALE, X-LARGE, DISPOSABLE",PC,ITEMIZED,"4,200"
SN,NUPCO CODE,LONG DESCRIPTION,UOM,"GROUP
CATEGORY",INITIAL QUANTITY
802,4713150200200,"CLOTH, CLEANING, NON-WOVEN, BLUE, MICROFIBER, 60 X 32 CM (+/- 5CM), ABSORBING WATER WHEN USE ON SURFACES, AND REMOVE DUST",EA,ITEMIZED,"6,44,790"
803,4713150200100,"CLOTH, CLEANING, NON-WOVEN, PINK, MICROFIBER, 60 X 32 CM (+/- 5CM), ABSORBING WATER WHEN USE ON SURFACES, AND REMOVE DUST",EA,ITEMIZED,"4,60,110"
804,4713150200000,"CLOTH/ DRY WIPES, CLEANING FOR PATIENT, LINT FREE, SIZE: LARGE, 30 X 36 CM (+/- 5CM), 50 / PACKET, DISPOSABLE",EA,ITEMIZED,"2,31,08,212"
805,4214160101300,"COMB, PLASTIC, FINE, TOOTHED",EA,ITEMIZED,"4,22,100"
806,4214160105100,"KIT, PATIENT CARE (COMB, LOTION, POWDER, NAIL CUTTER)",EA,ITEMIZED,"3,10,032"
807,5313162800200,"CAP, SHAMPOO FOR CLEANSING AND CONDITIONING OF THE HAIR: CONSTRUCTED OF A POLYETHYLENE OUTER LAYER, AND NON-WOVEN INNER LAYER OR EQUIVALENT, L ATEX, LANOLIN, EDTA, METHYLISOTHIAZOLINONE / METHYLCHLOROISOTHIAZOLINONE, ETHANOL AND PROPANOL TYPE ALCOHOL AND DETERGENT FREE, DERMATOLOGICALLY APPROVED AND BALANCED TO SKIN PH, NON ALLERGIC, NON-TOXIC, SAFE",EA,ITEMIZED,"5,32,975"
808,4214160105400,"GENERAL PATIENT CARE KIT 1, TRANSPARENT BAG WITH THE LOGO ON THE SIDE, IT CONTAINS: A LOOFAH WITH A BACK STRAP OF RUBBER, SHAMPOO AND CONDITIONER 20 ML CONTAINS SODIUM CHLORIDE AND COCONUT DIETHANOL, SHOWER GEL 20 ML CONTAINS GLYCERIN AND SODIUM CHLORIDE AND CITRIC ACID, BODY CREAM 20 ML CONTAINS LIQUID PARAFFIN AND GLYCERIN AND TRIETHANOLAMINE, ROUND AND WRAPPED SOAP 30 GM CONTAINING SODIUM PALM AND GLYCERIN AND SODIUM CHLORIDE, DENTAL CARE SUPPLIES (A SOFT BRUSH AND TOOTHPASTE 10 GM), WIDE BRUSH COMB WITH HANDLE, ALL COVERED WITH SNOW COVER, VANITY KIT (EARBUDS, ROUND COTTON BALLS, AND A SMALL WOODEN NAIL FILE).ALL ITEMS CONTAIN THE ORGANIZATION'S LOGO.",EA,ITEMIZED,"45,000"
809,4213220507900,"GLOVES, BATHING, PREMOISTENED, MICROWAVABLE, ALCOHOL FREE, FRAGRANCE FREE, 8-12 GLOVES PER PACK,
DISPOSABLE",EA,ITEMIZED,"8,68,295"
810,4224170309000,"SPONGE, BODY, NO RINSE, ONE STEP CLEANSING, DISPOSABLE, STERILE",EA,ITEMIZED,"2,38,518"
811,4214160104000,"LOTION, BABY HAND AND BODY, 150-200 ML BOTTLES, FREE FROM FRAGRANCE AND ALCOHOL, DISPOSABLE",EA,ITEMIZED,"48,620"
812,5124190000600,"LOTION, BABY HAND AND BODY, 50 ML BOTTLES, FREE FROM FRAGRANCE AND ALCOHOL, DISPOSABLE",EA,ITEMIZED,"12,84,178"
813,4229541512100,"POWDER, BABY, 100 GM, BOTTLE, FRAGMENT FREE",EA,ITEMIZED,"62,520"
814,4215190202100,"SET, FOR ORAL CARE, CONSIST OF : ONE TRAY COMPARTMENTS, 10 ORAL COTTON SWABS, ONE WOODEN SPATULA, TWO GAUZE SWABS 10 X 10 CM, DISPOSABLE BAG W ITH PLASTIC TIE",EA,ITEMIZED,"6,76,282"
